country,book,chapter,chapter_position,part_position,question_number,question_id,criteria_short,answer,justification,source_file,file_stem
France,Off on a Comet,Book 1 - Chapter 3,3,1,3,q3,how long is journey / how  far from earth,Other / Unsure,"No space journey has begun yet, though the catastrophic event at the chapter's end is the moment of transition. The characters are still on Earth's surface.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 3,3,1,4,q4,how culturally different is space from earth?,Other / Unsure,No space culture is yet evident. The setting remains terrestrial French colonial Algeria.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 3,3,1,5,q5,do you speak same language on earth vs space ?,Same languages as Earth,Servadac composes poetry in French and converses with Ben Zoof in French. No alternative languages or translation are present.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 3,3,1,6,q6,is it hostile / hard to survive (bc of natural conditions),Other / Unsure,"The catastrophic event at the end hints at dangerous conditions to come, but no space survival conditions are yet depicted.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 3,3,1,7,q7,how common is it for humans to live in space,Other / Unsure,No one is yet living in space. The cataclysm occurs at the very end of the chapter.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 3,3,1,8,q8,are there different countries in space? Or just one?,Other / Unsure,No political order in space is depicted yet.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 3,3,1,9,q9,genre of the book,Adventure / exploration,"The chapter mixes light comedy of Servadac's poetic struggles with a dramatic cliffhanger as an unutterable violent force throws both men to the ground, establishing the adventure-disaster tone.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 3,3,1,10,q10,is space a military or civilian domain / is the book military or civilian?,Mostly civilian with some military presence,"Servadac is a military officer, but the chapter's content is entirely personal and domestic, focused on poetry composition and the gourbi dwelling.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 3,3,1,11,q11,Is space characterized like another military domain?,Other / Unsure,Space is not yet introduced as a domain.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 3,3,1,12,q12,how physically different is space from earth?,Other / Unsure,The cataclysm occurs but no space environment is yet observed or described.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 4,4,1,1,q1,is space something to be contested,No contestation,The chapter describes a massive natural cataclysm through a series of rhetorical questions. There is no human conflict; the only force at work is the mysterious convulsion of nature itself.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 4,4,1,2,q2,can you inhabit and hold territory in space,Other / Unsure,"The chapter describes the cataclysmic moment but does not depict any habitation in space. The perspective remains terrestrial, questioning what phenomenon caused the upheaval.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 4,4,1,3,q3,how long is journey / how  far from earth,Other / Unsure,The cataclysm is described but no journey through space is yet depicted. The chapter poses questions about the event rather than showing travel.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 4,4,1,4,q4,how culturally different is space from earth?,Other / Unsure,"No space culture is depicted in this brief, dramatic chapter focused entirely on the moment of catastrophe.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 4,4,1,5,q5,do you speak same language on earth vs space ?,Same languages as Earth,No dialogue occurs in this chapter; it is pure narrative description of the cataclysm. Language differences are irrelevant.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 4,4,1,6,q6,is it hostile / hard to survive (bc of natural conditions),Extremely hostile (constant survival pressure),"The chapter depicts an extraordinarily violent natural convulsion: the earth groans, waters roar, air shrieks, the Mediterranean empties and refloods, and the moon's disc grows enormously. The question of whether any human could survive is explicitly raised.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 4,4,1,7,q7,how common is it for humans to live in space,Other / Unsure,No one is depicted as living in space; the chapter describes the catastrophic transition moment.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 4,4,1,8,q8,are there different countries in space? Or just one?,Other / Unsure,No political order in space is depicted.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 4,4,1,9,q9,genre of the book,Thriller / Horror / Survival,"The chapter is a pure depiction of catastrophe and terror: billows rage to unprecedented heights, elements unite in deafening crash, earth groans, and the chapter ends asking if any human could have survived.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 4,4,1,10,q10,is space a military or civilian domain / is the book military or civilian?,Entirely civilian,The cataclysm is a natural event with no military dimension. No military response or domain is depicted.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 4,4,1,11,q11,Is space characterized like another military domain?,Other / Unsure,Space is not characterized as any particular domain in this chapter.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 4,4,1,12,q12,how physically different is space from earth?,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The chapter describes physics going haywire: the Mediterranean empties and refloods in seconds, the moon appears at ten times its normal size, a new blazing spheroid appears, and the entire framework of the globe seems ruptured.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 5,5,1,1,q1,is space something to be contested,No contestation,Servadac and Ben Zoof discover strange physical changes after the cataclysm but face no human conflict. They attempt to reach their duel appointment but find the landscape drastically altered.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 5,5,1,2,q2,can you inhabit and hold territory in space,Cannot inhabit or hold territory,"The characters are unknowingly on a fragment carried into space, but they cannot yet comprehend or control their situation. The western part of Algeria has been swallowed by the sea, and they are stranded on what remains.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 5,5,1,3,q3,how long is journey / how  far from earth,Other / Unsure,"The characters do not yet know they are in space. They experience altered gravity, reversed cardinal points, and a six-hour day, but believe they are still on Earth.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 5,5,1,4,q4,how culturally different is space from earth?,Basically Earth society in space,"Servadac and Ben Zoof continue behaving exactly as they did on Earth, maintaining their military roles and social customs. Servadac still wants to keep his duel appointment despite the upheaval.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 5,5,1,5,q5,do you speak same language on earth vs space ?,Same languages as Earth,Servadac and Ben Zoof communicate in French throughout. No language changes result from the cataclysm.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 5,5,1,6,q6,is it hostile / hard to survive (bc of natural conditions),Manageable but risky,"The reduced atmospheric pressure causes labored breathing and thin voices, gravity is diminished allowing enormous leaps, and the sun rises in the west. However, the immediate environment remains survivable with food and shelter available.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 5,5,1,7,q7,how common is it for humans to live in space,Exceptionally rare (few astronauts/explorers),Only Servadac and Ben Zoof appear to have survived on their fragment of land. They find no other people during the chapter.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 5,5,1,8,q8,are there different countries in space? Or just one?,No political order / ungoverned,"Mostaganem and the western part of Algeria have been swallowed by the sea. Servadac and Ben Zoof are alone, with no government or political structure remaining.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 5,5,1,9,q9,genre of the book,Adventure / exploration,"The chapter is driven by discovery and exploration as Servadac and Ben Zoof experience reduced gravity, reversed compass directions, and a dramatically shortened day, all while trying to understand their transformed world.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 5,5,1,10,q10,is space a military or civilian domain / is the book military or civilian?,Entirely civilian,"Although Servadac is a military officer, all activity in this chapter is survival and exploration. There is no military operation or domain.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 5,5,1,11,q11,Is space characterized like another military domain?,Like the frontier / colonial expansion,"The characters are effectively stranded on an unknown frontier, exploring unfamiliar terrain where the rules of nature have changed, much like explorers in uncharted colonial territory.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 5,5,1,12,q12,how physically different is space from earth?,Very different (human bodies/technology constantly challenged),"Gravity is drastically reduced, allowing 30-40 foot leaps. The sun rises in the west and sets in the east. Days last only six hours. The horizon is dramatically contracted. Atmospheric pressure is severely diminished.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 6,6,1,1,q1,is space something to be contested,No contestation,"Servadac and Ben Zoof explore their island domain, finding no other humans and no conflict. Their only struggle is against the mystery of their situation and the altered natural conditions.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 6,6,1,2,q2,can you inhabit and hold territory in space,"Visiting / Temporary presence only (stations, missions, outposts)","Servadac and Ben Zoof inhabit what they name Gourbi Island, a fragment of Algeria. They are stranded survivors, not deliberate settlers, and their presence feels temporary as they hope for rescue.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 6,6,1,3,q3,how long is journey / how  far from earth,Other / Unsure,"The characters still do not realize they are in space. They explore their island and discover it is surrounded by ocean, but cannot determine how far from Earth they are.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 6,6,1,4,q4,how culturally different is space from earth?,Basically Earth society in space,"Servadac declares himself Governor General of Algeria and Ben Zoof calls himself the population, maintaining Earth social hierarchies and humor. Their behavior is entirely Earth-like.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 6,6,1,5,q5,do you speak same language on earth vs space ?,Same languages as Earth,All communication remains in French between the two characters. No language changes are depicted.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 6,6,1,6,q6,is it hostile / hard to survive (bc of natural conditions),Manageable but risky,"The island has ample food, water, and livestock, but the drastically altered physical conditions (six-hour days, reduced gravity, compressed atmosphere) create ongoing risk. The shortened day and unknown luminous body in the sky add uncertainty.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 6,6,1,7,q7,how common is it for humans to live in space,Exceptionally rare (few astronauts/explorers),"After circumnavigating their island in five days, Servadac and Ben Zoof confirm they are the sole human inhabitants of Gourbi Island, a territory of about 900 square miles.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 6,6,1,8,q8,are there different countries in space? Or just one?,No political order / ungoverned,Servadac jokingly calls himself Governor General with not a soul to govern. The island is a tiny domain with two inhabitants and no functioning political structure.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 6,6,1,9,q9,genre of the book,Adventure / exploration,"The chapter is structured as an exploration narrative as the two men systematically survey their island by horseback, mapping its quadrilateral shape and 171-mile circumference.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 6,6,1,10,q10,is space a military or civilian domain / is the book military or civilian?,Entirely civilian,"Despite Servadac's military rank, all activities are civilian exploration and survival. There are no military operations or objectives.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 6,6,1,11,q11,Is space characterized like another military domain?,Like the frontier / colonial expansion,"Servadac names the territory Gourbi Island and declares himself its governor, directly paralleling colonial expansion. They survey and map the land like frontier explorers.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 6,6,1,12,q12,how physically different is space from earth?,Very different (human bodies/technology constantly challenged),"Days and nights are six hours each. An unknown luminous body appears in the sky with an irregular orbit. The horizon is severely contracted. Gravity remains drastically reduced, allowing superhuman physical feats.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 7,7,1,1,q1,is space something to be contested,No contestation,"No conflict occurs. Servadac and Ben Zoof wait for rescue, observe astronomical phenomena, and try to understand their situation. Ben Zoof keeps faithful watch on the cliff.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 7,7,1,2,q2,can you inhabit and hold territory in space,"Visiting / Temporary presence only (stations, missions, outposts)","The two men remain stranded on Gourbi Island, hoping for rescue. Their habitation is makeshift and they explicitly plan to leave when a ship arrives. Servadac considers building a boat if none comes.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 7,7,1,3,q3,how long is journey / how  far from earth,Other / Unsure,"The characters still do not realize they have left Earth. They observe that the pole star has been displaced and Vega has become the new pole, but attribute this to Earth's axis shifting rather than space travel.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 7,7,1,4,q4,how culturally different is space from earth?,Basically Earth society in space,"Servadac maintains his calendar by his watch, refuses to adopt the new day length, and the two men live exactly as they would on Earth. Ben Zoof compares them to Robinson Crusoe and Friday.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 7,7,1,5,q5,do you speak same language on earth vs space ?,Same languages as Earth,All dialogue remains in French. No language changes or communication difficulties beyond the thin atmosphere affecting voice volume.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 7,7,1,6,q6,is it hostile / hard to survive (bc of natural conditions),Harsh and resource-intensive,"Water boils at 66 degrees centigrade due to reduced atmospheric pressure, requiring adjusted cooking times. Storms rage with tremendous fury for days. The temperature steadily increases as they apparently approach the sun. Vegetation grows precociously from the heat.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 7,7,1,7,q7,how common is it for humans to live in space,Exceptionally rare (few astronauts/explorers),Only Servadac and Ben Zoof are known to be in this situation. No other humans have been sighted despite weeks of watching.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 7,7,1,8,q8,are there different countries in space? Or just one?,No political order / ungoverned,"The two men are alone on the island with no government, communication with any authority, or political structure. They hope for rescue from the governor general but none comes.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 7,7,1,9,q9,genre of the book,Adventure / exploration,"The chapter combines survival narrative with scientific mystery as Servadac observes displaced constellations, a strange planet with a satellite, and tries to deduce what has happened to the Earth's axis and rotation.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 7,7,1,10,q10,is space a military or civilian domain / is the book military or civilian?,Entirely civilian,All activities are civilian survival and astronomical observation. There is no military dimension to the chapter.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 7,7,1,11,q11,Is space characterized like another military domain?,Like the frontier / colonial expansion,"The Robinson Crusoe comparison is made explicitly. The men are stranded on an island frontier, surveying resources, keeping watch for passing ships, and contemplating building a boat.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 7,7,1,12,q12,how physically different is space from earth?,Very different (human bodies/technology constantly challenged),Water boils at 66 degrees instead of 100. The pole star is displaced and Vega appears as the new pole. A strange planet with a satellite appears where no planet should be. The constellation patterns are altered dramatically.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 8,8,1,1,q1,is space something to be contested,No contestation,No human conflict occurs. The chapter focuses on the approaching threat of Venus and the astronomical mystery. The only tension is between humans and the forces of nature.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 8,8,1,2,q2,can you inhabit and hold territory in space,"Visiting / Temporary presence only (stations, missions, outposts)",Servadac and Ben Zoof remain on Gourbi Island as castaways. They cannot leave and are at the mercy of orbital mechanics. Their situation is temporary and involuntary.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 8,8,1,3,q3,how long is journey / how  far from earth,Moderate journey (months/meaningful separation),"Though the characters do not fully understand it yet, they have been carried to Venus's orbital distance from the sun, about 66 million miles. They have been separated from Earth for nearly a month with no communication.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 8,8,1,4,q4,how culturally different is space from earth?,Basically Earth society in space,Servadac and Ben Zoof continue their Earth routines. Ben Zoof insists Montmartre is as hot as the tropics. Their social dynamic and cultural references remain entirely Earth-based.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 8,8,1,5,q5,do you speak same language on earth vs space ?,Same languages as Earth,All communication remains in French between the two characters.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 8,8,1,6,q6,is it hostile / hard to survive (bc of natural conditions),Harsh and resource-intensive,Temperature reaches 50 degrees centigrade in the shade as Earth approaches the sun. The heat surpasses equatorial Senegal. Vegetation threatens to be scorched. Ben Zoof must construct a parasol to avoid being roasted alive on the cliff.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 8,8,1,7,q7,how common is it for humans to live in space,Exceptionally rare (few astronauts/explorers),Still only Servadac and Ben Zoof are known survivors. No ship has appeared despite weeks of watching. A ship is finally spotted at the very end of the chapter.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 8,8,1,8,q8,are there different countries in space? Or just one?,No political order / ungoverned,"The two men remain isolated with no governance. Servadac speculates about crowds flocking to churches and newspapers publishing sensational articles, but has no contact with any authority.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 8,8,1,9,q9,genre of the book,Adventure / exploration,"The chapter builds tension through the approaching near-collision with Venus, with Servadac calculating distances and debating the danger with Ben Zoof, culminating in relief when collision is averted and excitement when a ship appears.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 8,8,1,10,q10,is space a military or civilian domain / is the book military or civilian?,Entirely civilian,The chapter is entirely about astronomical observation and survival. No military activity occurs.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 8,8,1,11,q11,Is space characterized like another military domain?,Like the frontier / colonial expansion,"The castaways remain on their island frontier, watching for ships like colonial settlers hoping for supply vessels, while the alien astronomical phenomena unfold around them.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 8,8,1,12,q12,how physically different is space from earth?,Very different (human bodies/technology constantly challenged),"The sun's diameter appears twice its normal size, consistent with Venus's orbital distance. Venus approaches to within 6 million miles, showing mountains and atmospheric details. Earth appears to be on a completely new orbit approaching Mercury.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 9,9,1,1,q1,is space something to be contested,No contestation,"Servadac and Count Timascheff reunite with courtesy rather than hostility, their previous duel rivalry forgotten in the face of the catastrophe. They cooperate to investigate the disaster.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 9,9,1,2,q2,can you inhabit and hold territory in space,"Visiting / Temporary presence only (stations, missions, outposts)","The Dobryna arrives at Gourbi Island and anchors in a creek. The characters plan a maritime expedition to explore the Mediterranean, treating their situation as a temporary crisis requiring investigation.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 9,9,1,3,q3,how long is journey / how  far from earth,Moderate journey (months/meaningful separation),"The Dobryna has been sailing for 27 days without finding any land other than Gourbi Island. The count confirms the sun's reversed motion, shortened days, and diminished gravity, indicating they are far from normal Earth conditions.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 9,9,1,4,q4,how culturally different is space from earth?,Basically Earth society in space,The reunion follows Earth social customs with formal introductions and punctilious courtesy. The count offers his yacht for exploration. They plan to contact Algiers or European ports as if normal civilization still exists.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 9,9,1,5,q5,do you speak same language on earth vs space ?,Same languages as Earth,"Servadac and Timascheff communicate directly in French. The Russian count speaks French fluently, as is customary for Russian aristocrats.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 9,9,1,6,q6,is it hostile / hard to survive (bc of natural conditions),Manageable but risky,"The immediate environment is survivable with ample resources on the island, and the Dobryna provides transportation. However, the wider situation is dangerous with flooded coastlines, abnormal tides, and no known route to civilization.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 9,9,1,7,q7,how common is it for humans to live in space,Exceptionally rare (few astronauts/explorers),"Only Servadac, Ben Zoof, and the crew of the Dobryna are known survivors. The count confirms that Gourbi Island is the first land they have seen in nearly a month of sailing.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 9,9,1,8,q8,are there different countries in space? Or just one?,No political order / ungoverned,"No functional government exists. Servadac leaves Ben Zoof as governor of Gourbi Island, a tongue-in-cheek title. They plan to seek out any remaining authority in Algiers or Europe.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 9,9,1,9,q9,genre of the book,Adventure / exploration,"The chapter is structured around preparation for a voyage of discovery. The Dobryna's engine is repaired, provisions are secured, and the expedition sets off to map their new domain.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 9,9,1,10,q10,is space a military or civilian domain / is the book military or civilian?,Mostly civilian with some military presence,Servadac is a military officer but acts in a civilian explorer capacity. The Dobryna is a private yacht with a civilian crew. Ben Zoof is left behind with quasi-military governor duties.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 9,9,1,11,q11,Is space characterized like another military domain?,Like the ocean / naval,"The chapter is centered on naval activity: the Dobryna anchors, a boat is lowered, the harbor is scouted, the engine is repaired, and the expedition sails forth to explore unknown seas.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 9,9,1,12,q12,how physically different is space from earth?,Very different (human bodies/technology constantly challenged),"Abnormal tides are observed in the normally tideless Mediterranean. The temperature is steadily decreasing after its extreme rise. The earth's convexity has visibly changed, limiting the horizon to six miles.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 10,10,1,1,q1,is space something to be contested,No contestation,"No conflict between characters or factions. The chapter focuses on the Dobryna's voyage searching for Algeria, with the crew cooperating to investigate the disappearance of the coastline.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 10,10,1,2,q2,can you inhabit and hold territory in space,"Visiting / Temporary presence only (stations, missions, outposts)","The Dobryna explores the sea where Algeria should be, finding only uniform shallow water. The characters are nomadic explorers on their ship, with no permanent settlement beyond Gourbi Island.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 10,10,1,3,q3,how long is journey / how  far from earth,Moderate journey (months/meaningful separation),"Lieutenant Procope explains they have crossed Venus's orbit and are now receding from the sun. The Earth has been displaced from its 91-million-mile orbit, confirming a vast separation from normal conditions.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 10,10,1,4,q4,how culturally different is space from earth?,Basically Earth society in space,"The crew of the Dobryna maintains Earth-like social structure: Lieutenant Procope commands the sailors, the count is the patron, and they use nautical instruments and customs. Servadac mourns his lost friends in Algiers.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 10,10,1,5,q5,do you speak same language on earth vs space ?,Same languages as Earth,"Lieutenant Procope speaks French fluently, as do the Russian crew members. Conversations between the French captain, Russian count, and Russian lieutenant all occur in French.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 10,10,1,6,q6,is it hostile / hard to survive (bc of natural conditions),Harsh and resource-intensive,"The seas run abnormally high due to reduced gravity, with waves reaching 50-60 feet. The sea bottom has been replaced by a strange metallic dust. Algeria has completely vanished, and the sounding line finds only 4-5 fathoms where cities once stood.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 10,10,1,7,q7,how common is it for humans to live in space,Exceptionally rare (few astronauts/explorers),"The Dobryna finds no trace of Algeria's 15,000-inhabitant towns. Not a single material object floats on the surface. The small crew appears increasingly isolated as sole survivors.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 10,10,1,8,q8,are there different countries in space? Or just one?,No political order / ungoverned,"Algeria, including its capital, has completely disappeared. No government, no authority, no other human presence can be found. The explorers are entirely on their own.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 10,10,1,9,q9,genre of the book,Adventure / exploration,"The chapter follows the Dobryna's systematic exploration using compass, log, and sounding line to investigate where Algeria once was. It is pure exploration narrative as they chart their new world.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 10,10,1,10,q10,is space a military or civilian domain / is the book military or civilian?,Entirely civilian,"The Dobryna is a private yacht on an exploratory mission. All activities are scientific investigation and navigation, with no military purpose.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 10,10,1,11,q11,Is space characterized like another military domain?,Like the ocean / naval,"The entire chapter takes place at sea on the Dobryna. Navigation, sounding, charts, and seamanship dominate the narrative. The exploration is fundamentally a naval expedition.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 10,10,1,12,q12,how physically different is space from earth?,Very different (human bodies/technology constantly challenged),"The sea bottom is composed of unknown metallic dust. Waves reach 50-60 feet due to reduced gravity. Planets have shifted positions, rendering sextants useless. The entire coastline of Algeria has been replaced by shallow, uniform ocean floor.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 11,11,1,1,q1,is space something to be contested,No contestation,"No human conflict occurs. The Dobryna continues its search, finding only devastation. The crew discovers the tomb of St. Louis on a small surviving island fragment, treating it with reverence.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 11,11,1,2,q2,can you inhabit and hold territory in space,"Visiting / Temporary presence only (stations, missions, outposts)","The crew briefly visits the tiny island tomb of St. Louis, finding it deserted except for cormorants. It is a fleeting stop during their exploratory voyage, not a settlement.",France_Off_on_a_Comet.csv,France_Off_on_a_Comet
France,Off on a Comet,Book 1 - Chapter 11,11,1,3,q3,how long is journey / how  far from earth,Moderate journey (months/meaningful separation),The Dobryna has now traveled extensively and confirmed that the entire North African coast from Algeria to Tunisia has vanished. They are deeply separated from any known civilization.,France_Off_on_a_Comet.csv,France_Off_on_a_Comet
