country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification,source_file,file_stem,part_position,chapter_position
Finland,The Causal Angel,Chapter 14,Moderate contestation (ongoing rivalry/disputes),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Harsh and resource-intensive,Normalized / widespread (space habitation is ordinary for humanity),Multiple distinct space polities,Adventure / exploration,Mostly civilian with some military presence,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"Jean le Flambeur confronts his past self (a partial) in the Gallery, learning about the failed theft of the Kaminari jewel and the Great Game's deception. The Ganimard-zoku pursues him outside, and his partial threatens to release more le Flambeurs from the Prison.","The chapter references the Sobornost's system-wide control, the zoku civilization, Mars and its Oubliette, and the Prison. The past self describes System-wide operations spanning the solar system, confirming extensive territorial occupation.","Jean's origin story begins in a North African desert on Earth, but the main narrative takes place aboard a ship in Saturn's depths. The journey from that Earth childhood to the far-future solar system represents an extreme, effectively unreachable distance in both space and time.","The chapter reveals a society where people store past selves in crystal galleries, where evolutionary algorithms are used to create new versions of individuals, and where a zoku jewel computes the Universe's coherent extrapolated volition. This is radically alien to any Earth social order.","Jean communicates with his past partial self through the Leblanc's virtual Realm environment, where the ship's systems mediate all interaction. The partial provides information through encoded quantum whisky and Prime authorization keys embedded in drinks.","Jean is hunted by the Ganimard-zoku and must hide in Saturn's sub-troposphere. His past self describes the Kaminari jewel quest as extremely dangerous, and the Dilemma Prison is referenced as a harrowing experience. Survival requires constant resourcefulness and advanced technology.","Jean casually inhabits a ship with virtual Realm environments, his past self describes System-wide thievery as routine, and the Society zoku simulated an entire parallel biosphere to produce whisky. Space habitation is completely ordinary and mundane.","The chapter references the Sobornost, the Great Game Zoku, the Kaminari-zoku, the Ganimard-zoku, the Society zoku, and the Oubliette on Mars. These represent multiple distinct political entities with different structures and goals.","The chapter is a classic heist narrative. Jean explores the Gallery of his past selves, learns about the Kaminari jewel and its true nature, outsmarts his past self by stealing his key, and declares his intention to save Mieli and end his thieving career.","The chapter focuses on Jean's personal quest and his confrontation with his past self, which is a civilian matter. However, the Ganimard-zoku pursuit and references to the Sobornost invasion provide military context.",The Kaminari jewel works by computing the Universe's coherent extrapolated volition through quantum gravity. The Gallery is a virtual-physical hybrid space storing selves as information. Space is characterized as a computational domain where reality itself can be reprogrammed.,"The environment includes a crystal gallery storing consciousness in glass cells, a ship's Realm that is indistinguishable from physical reality, and a jewel that can rewrite spacetime itself. The Planck locks, quantum gravity computers, and false vacuum bubbles represent physics fundamentally unlike Earth experience.",Finland_The_Causal_Angel.csv,Finland_The_Causal_Angel,NA,14
Finland,The Causal Angel,Chapter 15,Total war / constant conflict,Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Manageable but risky,Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Thriller / Horror / Survival,Mixed civilian-military domain,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The Sobornost launches a full-scale invasion of Saturn with seven guberniyas. A kinetic weapon strikes a Plate, all zoku jewels decohere, and the chapter ends with Mieli preparing for combat as raions and nanomissiles descend.","Supra City is a massive permanent settlement around Saturn with Strips and Plates. The Sobornost controls guberniyas across the inner solar system, and the zoku have embedded picotech infrastructure into Saturn's moons like Prometheus for long-term data storage.","Earth is never mentioned as relevant or reachable. The action takes place entirely in the Saturnian system, with factions spread across the solar system in a far-future posthuman civilization completely separated from any Earth-like baseline.","The zoku operate through quantum entangled jewels and collective volition systems, thinking collaboratively in thought-webs of beads and threads. Mieli navigates the Invisible Realm of the Great Game, a fundamentally alien mode of social organization with no Earth parallel.","Characters communicate via qupts (quantum communications), thought-threads, and direct mind-to-mind exchanges in the Invisible Realm. Language barriers are irrelevant as communication is technologically mediated at the quantum level.",Mieli survives on the surface of Prometheus in a suit with thrusters and weapons. Space is navigable with technology but the sudden decoherence of zoku jewels and the Sobornost invasion show that survival depends heavily on functioning technology.,"Billions of beings inhabit Supra City around Saturn. The zoku population is vast and distributed, and the Sobornost guberniyas contain countless gogol minds. Living in space is the default mode of existence for posthumanity.","Multiple distinct factions compete: the Great Game zoku, Ganimard-zoku, Gringotts-zoku, Notch-zoku, Evangelion-zoku, and other zoku subgroups, plus the Sobornost with its seven guberniyas each led by different Founders. Jean le Flambeur operates independently.","The chapter is a tense thriller as Mieli navigates the Great Game's intelligence apparatus while secretly trying to help the thief, culminating in the terrifying moment when all zoku jewels fail and the Sobornost invasion begins.","The Great Game zoku functions as both an intelligence organization and civilian governance structure. Mieli is armed with military weapons on Prometheus, but the broader zoku society includes civilian infrastructure like the Gringotts banking system.","Space is characterized primarily through virtual Realms, quantum information networks, spimescapes, and thought-webs. The key conflict revolves around quantum data in Saturn's rings, and combat involves metacloaked ships and information warfare.","The environment includes Saturn's rings as quantum data storage, picotech embedded in moon atoms, spimescapes overlaying physical reality, and the Invisible Realm where thought-beads form collaborative networks. Physical reality is layered with computational abstractions.",Finland_The_Causal_Angel.csv,Finland_The_Causal_Angel,NA,15
Finland,The Causal Angel,Chapter 16,Total war / constant conflict,Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Manageable but risky,Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Drama,Mixed civilian-military domain,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The entire Sobornost fleet, controlled by the All-Defector, has invaded Saturn. Jean learns his disruption of the zoku volition system has left Supra City defenseless. Structural damage, strangelet events, and Hawking blasts are devastating the city.",Seven guberniyas occupy Lagrange points around Saturn while Supra City's Plates and Strips represent massive permanent zoku territory. The chapter references settlements on Mars (Sirr on Irem) and across the solar system.,"The characters operate entirely within the Saturnian system and broader solar system. Earth is referenced only as ancient history. Jean launches himself at the Sobornost fleet via thoughtwisp at near light speed, showing the vast scales involved.","Jean reveals that the zoku quantum jewel system was teetering near a quantum mechanical boundary, and he pushed it over with algorithmically generated spam zokus. The pellegrini made Mieli as an instrument. Social order is built on quantum entanglement and posthuman manipulation.","Characters communicate through qupts, Realms, and direct neural interfaces. Jean passes Perhonen's dying message to Mieli as a vision of butterflies and fire. Language is irrelevant when thoughts and memories are transmitted directly.","Jean and Mieli exist comfortably in the Leblanc's Realm environments, but the surrounding space is filled with active combat. The environment is manageable with sufficient technology but the war makes everything precarious.","The entire human civilization lives in space. Supra City houses a massive population, the Sobornost guberniyas contain billions of gogol minds, and Oort is referenced as Mieli's distant home. Space habitation is universal.","The chapter features multiple competing entities: the zoku collective, the Sobornost (itself divided among Founders), the pellegrini faction, Jean as an independent agent, and the All-Defector as an emergent threat. The Oubliette on Mars is also referenced.","The chapter is intensely dramatic and emotional. Jean and Mieli confront grief over Perhonen's death, the revelation that Sydan worked for the pellegrini, and Jean's guilt over enabling the Sobornost invasion. The emotional core drives the narrative.","The Leblanc is a personal ship used for both escape and combat. The ongoing war engulfs civilian infrastructure like Supra City's Plates, while Jean and Mieli plan a heist rather than a military operation to resolve the crisis.","Jean travels as a thoughtwisp, a mirror flake of thought pushed by lasers. The chapter's key events unfold in virtual Realms. Jean's plan involves quantum information, Planck branes, and gravitational waves rather than physical territory.","Characters exist as quantum information in photonic crystals, travel as thoughtwisps at relativistic speeds, and inhabit virtual Realms. The physical environment includes guberniyas, mass streams, and the computational substrate of posthuman existence.",Finland_The_Causal_Angel.csv,Finland_The_Causal_Angel,NA,16
Finland,The Causal Angel,Chapter 17,Total war / constant conflict,Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Manageable but risky,Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Adventure / exploration,Mostly military,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"Jean travels through the massive Sobornost fleet attacking Saturn, passing through raion formations, kilometre-long oblast ships, and a colossal mirror system designed to redirect stellar lasers. The battle rages on multiple fronts simultaneously.","The chen guberniya is a diamond sphere ten thousand kilometres in diameter, an artificial world with a living fractal surface where every dust particle is a gogol. Seven such guberniyas occupy the Saturnian system's Lagrange points.","Jean enters the guberniya as a thoughtwisp travelling at nearly the speed of light. The action takes place deep within the Sobornost's artificial worlds, completely removed from anything resembling Earth or baseline human experience.","Inside the guberniya, gogol minds are governed by xiao, an instinctive respect hierarchy that rewrites perception of reality. Deep Time simulations run for millennia. The chen-gogol Jean encounters has evolved into a centipede-like form through deep vir evolutionary processes.","Jean communicates through Founder codes, qupts, and direct neural manipulation. He overwrites a chen gogol's mind using a story from Axolotl the body thief. Communication operates at the level of mind control and information transfer, not language.","Within the guberniya's virtual environments, survival depends on having the right codes and mental defenses. Jean navigates using stolen Sumanguru Founder codes but faces constant risk of detection and erasure.",The guberniya contains an entire ecosystem of billions of gogol minds across countless virtual layers. Raions pour from fabber pits in wave after wave. Space habitation at astronomical scales is the norm.,"The chapter shows internal Sobornost politics with different Founder factions (Sumanguru, Chen, pellegrini), plus the All-Defector as an independent viral entity controlling the chens. The zoku continue fighting externally.","Jean infiltrates the chen guberniya in a daring solo mission, disguising himself with stolen Founder codes, manipulating gogol bureaucracy, and racing to find Matjek before the boy can trigger a doomsday weapon. It is a classic heist-adventure infiltration.","The chapter takes place entirely within the Sobornost military machine. Jean passes through raion formations, navigates guberniya military hierarchy, and confronts the All-Defector. The environment is saturated with warminds and combat operations.","Jean infiltrates the guberniya through virtual layers, flattening virs into corridors, manipulating firmament code, and evolving gogol populations to sift data. The entire infiltration is a cyberspace operation through nested virtual environments.","The guberniya is a ten-thousand-kilometre diamond sphere with a fractal smartmatter surface where every particle is a thinking being. Inside, reality is layered virtual environments governed by Founder codes and firmament. Physics is computational.",Finland_The_Causal_Angel.csv,Finland_The_Causal_Angel,NA,17
Finland,The Causal Angel,Chapter 18,Total war / constant conflict,Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Harsh and resource-intensive,Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Adventure / exploration,Mixed civilian-military domain,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"Mieli pilots through a Sobornost storm of gamma ray lasers and raion swarms. War rages in both physical space and virtual Realms, where weaponised gogols invade zoku realities. The entire chapter is set during the ongoing total war for Saturn.","Supra City remains a massive settled territory under siege. The Sobornost fleet occupies the Saturnian system. Zoku Realms serve as additional inhabited territories, and the chapter references infrastructure deep within Saturn's metallic hydrogen layer.",The action takes place in the Saturnian system and in virtual Realms. Mieli transforms herself from physical form into quantum information to pass through a Realmgate. Earth is entirely absent from consideration.,"Mieli creates a viral zoku using the Kaminari template to manipulate collective volition. The zoku social order operates through entanglement levels, twinking, and quantum coordination. Mieli must game this system to obtain Planck brane tanglematter.",Mieli and Zinda communicate through qupts across vast distances. The viral zoku spreads through quantum-mediated thought transmission. All meaningful communication is technologically mediated.,"Mieli must strip the Leblanc down to barely more than its drive sphere to survive, and ultimately sacrifices the ship entirely to escape through a Realmgate. The Sobornost-filled space is actively lethal, requiring extreme measures to traverse.","Massive populations inhabit Supra City, Realms, and guberniyas. Zoku members fight in virtual battlefields and physical space simultaneously. A guerrilla operation runs on reversible computation inside Saturn's metallic hydrogen layer.","The chapter features the Great Game zoku, Spooky-zoku, Ganimard-zoku, the newly created Liquorice-zoku, the Sobornost fleet with multiple Founder factions, and the pellegrini as a separate entity. The political landscape is deeply fragmented.","Mieli undertakes a daring mission: escaping Sobornost forces, reuniting with Zinda, creating a viral zoku to hack the collective volition system, and obtaining the Planck brane tanglematter. It reads as a high-stakes heist-adventure.","The Leblanc is a civilian ship pressed into combat duty. Mieli fights in Realm battles to earn entanglement, then uses the zoku's civilian governance system (volition) for military purposes. The domain blurs military and civilian functions.",Mieli transforms herself into quantum information to pass through a Realmgate. War occurs simultaneously in physical space and virtual Realms. The key objective is obtaining tanglematter through quantum teleportation protocols and volition hacking.,"Mieli converts her physical body into a foglet wedge of quantum information. The Leblanc's micro-singularity engine collapses into a white hole. Tanglematter involves EPR states distilled from neutralinos using Saturn as a detector, entangled with supersymmetric matter on another brane.",Finland_The_Causal_Angel.csv,Finland_The_Causal_Angel,NA,18
Finland,The Causal Angel,Interlude (3),Total war / constant conflict,Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Manageable but risky,Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Thriller / Horror / Survival,Mostly military,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The interlude takes place during the ongoing Sobornost-zoku war. The All-Defector describes its plan to remake the entire Universe, motivated by existential competition with hypothetical entities from other spacetimes.",The All-Defector controls the chen guberniya and much of the Sobornost fleet. The pellegrini is referenced as having her own guberniya. The scale of territorial control is planetary and system-wide.,The All-Defector discusses other spacetimes beyond the causal horizon of the Universe itself. The scale of distance and separation extends beyond the solar system to cosmological and even multi-universal scope.,"The All-Defector is a game-theoretic anomaly that becomes whoever it encounters, running simulations to predict behavior. Josephine exists as one of many copies, unable to distinguish if she is real or a simulation. Social order has dissolved into computational manipulation.",Communication occurs through direct mind-to-mind exchange in virtual environments. The All-Defector whispers Founder Codes that reshape reality. Language is irrelevant in this context of pure information exchange.,"Within the virtual environment, physical survival conditions are not the primary concern. The risk is cognitive and existential rather than environmental, as the All-Defector can erase minds at will.","The entire narrative takes place among posthuman entities for whom space habitation is the default. Josephine and the All-Defector exist within guberniyas as uploaded minds, representing billions of gogol inhabitants.","Even within this short interlude, multiple factions are referenced: the pellegrini, the chens (now controlled by All-D), the other Sobornost Founders, and the zoku. The All-Defector itself represents a new independent power.","The interlude is deeply unsettling as Josephine faces the All-Defector, a being that perfectly predicts and controls her. It raises existential horror about simulated consciousness and the impossibility of resistance. The tone is psychological horror.",The context is the ongoing total war. The All-Defector's entire purpose is conquest and universal domination. Josephine is effectively a prisoner of war within a military entity.,The entire interlude takes place in a virtual dream-vir. The All-Defector operates as a computational entity running simulations. Space is characterized as a domain of information and game theory rather than physical territory.,The environment is a virtual reality within a guberniya. The All-Defector discusses remaking spacetime itself and the possibility of viral spacetimes from beyond the causal horizon. Physical reality is subordinate to computational abstraction.,Finland_The_Causal_Angel.csv,Finland_The_Causal_Angel,NA,3
Finland,The Causal Angel,Chapter 19,Total war / constant conflict,Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Harsh and resource-intensive,Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Thriller / Horror / Survival,Mostly military,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The chapter shows Saturn's rings torn apart, Plates shattered, Strips broken, and von Neumann beasts consuming matter. Zoku forces are decimated and sunbeam mirrors are about to deliver a final blow. Jean sacrifices himself to defeat the All-Defector.","The battle rages across Supra City's Plates and Strips, with the Sobornost occupying Lagrange points. The Aun faction defends the Plate of Irem. The scale of settled territory being contested is enormous.",The action is entirely within the Saturnian system and inside virtual environments within a guberniya. Earth is completely irrelevant to these posthuman conflicts.,"Jean battles the All-Defector through a game-theoretic duel involving simulations of consciousness. He creates a Jean le Flambeur-complete computational problem, spawning billions of simulated versions of himself. Social interaction has become pure game theory.",Jean and the All-Defector communicate directly in a shared virtual space. Jean passes escape protocols to Josephine through direct information transfer. All communication is technologically mediated.,"The physical space around Saturn is devastated by war, with black holes, X-ray fountains, and von Neumann beasts. Jean exists only as information within a hostile virtual environment where the All-Defector can erase him at will.",Vast populations fight and die across Supra City. Billions of gogol minds inhabit the guberniya. The entire conflict involves posthuman civilizations for whom space is the only habitat.,"The chapter features the All-Defector, the pellegrini (Josephine), the zoku forces, the Aun faction defending Irem, the Sobornost fleet, and Jean's independent operation. Multiple factions with conflicting goals coexist.","Jean faces the All-Defector in a desperate psychological duel where his every thought is predicted. The tension builds as he tries to create enough simulations of himself to find one escape route among billions, culminating in his apparent sacrifice.","The chapter is dominated by the total war around Saturn and Jean's combat with the All-Defector. Von Neumann beasts, sunbeam weapons, kinetic pellet sheets, and Dragon weapons define the military character of space.","Jean's battle with the All-Defector is fought through simulations, memory associations, and computational problems. He tries to force the All-Defector to run a full simulation of Jean le Flambeur, turning the conflict into a computational resource war.","Saturn's surface shows a boiling black hole shooting X-ray fountains. Jean exists as information within a virtual environment, battling through game theory and spawning simulated copies of himself. The environment is purely computational.",Finland_The_Causal_Angel.csv,Finland_The_Causal_Angel,NA,19
Finland,The Causal Angel,Chapter 20,Total war / constant conflict,Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Nearly uninhabitable / lethal without major intervention,Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Adventure / exploration,Mixed civilian-military domain,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The chen guberniya is destroyed by the dragon jewel. The Sobornost fleet regroups and sunbeam mirrors prepare to annihilate Supra City. Barbicane confronts the Liquorice-zoku at the Arsenal, and Mieli is fired into Saturn via the ekpyrotic cannon.","The pellegrini withdraws her guberniya fleet. The Gun Club's Arsenal on Iapetus contains massive weapons. Supra City remains a vast inhabited territory. The scale of permanent settlement and territorial control spans moons, planets, and artificial worlds.","Mieli is fired into Saturn's core and then transmitted to the Planck brane, a parallel universe. The distance transcends physical space entirely, moving between branes of reality.","Barbicane reveals he manipulated events to destroy the Kaminari jewel and start a new Game. The Liquorice-zoku is a viral creation. Mieli merges with the Kaminari jewel and becomes all possible versions of herself simultaneously, transcending any recognizable social order.",Mieli and Matjek communicate through Liquorice-zoku jewel qupts while Barbicane holds them frozen. The pellegrini speaks and blows a kiss that heals Mieli's scar. Communication operates through quantum and supernatural channels.,"Mieli is fired into Saturn's metallic hydrogen core, where the environment is utterly lethal. On the Planck brane, she exists as a bubble-thin boundary in an alien liquid medium where huge entities pass beneath her. Survival requires complete transcendence of physical form.","The chapter features massive populations across Supra City, guberniyas, and moons. Space habitation is universal. Even the Planck brane has been colonized with solitonic computational platforms by the zoku.","The pellegrini withdraws independently, Barbicane acts against his own zoku's volition, the Liquorice-zoku operates as rebels, and the remaining Sobornost Founders regroup. Multiple competing authorities with different agendas persist even at the climax.","Mieli's journey to the Planck brane is the ultimate exploration, traveling to a parallel universe to find the Kaminari jewel. She perceives an alien liquid environment, senses a huge entity passing beneath her, and touches the jewel to reshape reality through song.","The Arsenal is a military installation, and Barbicane wields military authority. But Mieli's mission is ultimately about using the Kaminari jewel to save everyone, a civilian goal. The pellegrini's withdrawal is a political-military act with civilian consequences.","Mieli is qupted into the gunscape as quantum information, fired through the ekpyrotic cannon, and transmitted via gravitational waves to the Planck brane. The climax unfolds in a purely abstract domain of solitonic states and alien physics.",The Planck brane is governed by alien physics where everything is liquid and perception is flow. Mieli's bubble-self wavers in the wake of vast entities. The ekpyrotic cannon uses four black holes to pulse Saturn's core and transmit gravitational waves between branes of reality.,Finland_The_Causal_Angel.csv,Finland_The_Causal_Angel,NA,20
Finland,The Causal Angel,Epilogue,Moderate contestation (ongoing rivalry/disputes),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Benign / easily survivable,Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Drama,Mostly civilian with some military presence,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The war is over but rivalry persists. Josephine plans new conflicts with other Founders and schemes against her Sobornost siblings. The zoku have been transported to a new reality, but the Sobornost factions remain in competition.",Josephine surveys from her guberniya. Supra City has been transported to a new world. The Sobornost Founders still control vast territories. The Dilemma Prison remains as a permanent institution. Territory is held at civilization-scale.,"Saturn has vanished entirely, transported to another brane of reality. Mieli and Zinda exist in a new universe completely separate from the old one. Jean is in the Dilemma Prison, location unknown. Separation is absolute and inter-universal.","In the new world, reality is malleable like vaki and Realms can be made without machines. Josephine commands a billion gogols through xiao. The Archon guards the Dilemma Prison as a computational entity seeking patterns. No aspect of society resembles Earth.",Josephine steps into the minds of a billion gogols simultaneously. Mieli and Zinda communicate casually in their new reality. The Archon operates through pure computation. Language as such is irrelevant.,"In the new world, Mieli and Zinda lie in warm sunlight eating peaches. Reality is malleable and comfortable. Even in the old universe, Josephine relaxes in her guberniya drinking wine. The epilogue presents space as settled and survivable.","All of posthumanity lives in space or space-derived environments. Josephine's guberniya, Supra City in the new world, and the Dilemma Prison all represent ordinary habitation for their inhabitants.","Josephine schemes against the hsien-kus and vasilevs, notes Chitragupta and Sasha will be distracted, and the sumangurus need targets. The zoku are in a separate universe. The political landscape remains deeply fragmented among Sobornost Founders.","The epilogue resolves the trilogy's emotional arcs: Josephine grieves Jean while planning her next move, Mieli finds peace with Zinda in a new world, and Jean escapes the Dilemma Prison through a door of light. The tone is reflective and cathartic.",The epilogue shifts away from war. Josephine plans future conflicts but is currently drinking wine. Mieli and Zinda are at peace in their new world. Jean escapes a prison. The military domain has receded.,Josephine steps into a billion gogol minds simultaneously. The Archon seeks computational patterns in the Prison's grid. Reality in the new world is malleable like software. Space remains characterized as a computational-informational domain.,"The new world has malleable reality without machines. Saturn has vanished, leaving only a gravitational shadow. The Dilemma Prison is built of computronium governed by an Archon. The physical environment is fundamentally unlike anything on Earth.",Finland_The_Causal_Angel.csv,Finland_The_Causal_Angel,NA,NA
Finland,The Fractal Prince,Prologue,"Low contestation (minor competition, little open conflict)",Extensive territorial occupation (many settled worlds/regions held like states or empires),Moderate journey (months/meaningful separation),Radically different / alien social order,"Mostly same, with dialect/slang differences",Manageable but risky,Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Adventure / exploration,Mostly civilian with some military presence,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The Prologue depicts a dream encounter between Matjek and the thief (Jean le Flambeur), referencing past events on Mars where Jean was imprisoned and freed by Mieli. There is background tension between characters but no direct conflict in space during this chapter.","References to Mars settlements (the Oubliette), Mieli's Oort Cloud origins, and the plan to travel to Earth imply a solar system with multiple inhabited regions held by different factions, including the Sobornost who control much of the Inner System.","The thief recounts that Mieli took him to Mars and now they need to go to Earth, suggesting interplanetary travel that involves meaningful separation and transit time across the solar system.","Matjek references chitraguptas, the Great Common Task, and fighting death as the enemy, indicating a post-human civilization with uploaded minds, copied consciousness, and social structures utterly unlike contemporary Earth society.","Characters communicate in a shared language but use specialized terminology like 'chens,' 'chitraguptas,' 'gogols,' and 'the Great Common Task,' suggesting a common tongue augmented with faction-specific jargon.","The chapter takes place in dreams and memories rather than depicting direct survival challenges, but references to prison, dangerous quests, and needing to go to Earth suggest space is traversable but not without risk.","The chapter casually references living on Mars, traveling between planets, and entities from the Oort Cloud, indicating that space habitation is an ordinary condition for the various factions of post-humanity.","Multiple distinct groups are mentioned: the Sobornost, the Oubliette on Mars, the Oort Cloud warriors, and various zoku. This paints a picture of a solar system fragmented among many competing factions.","The Prologue sets up a heist/adventure narrative, with the thief recounting past exploits and preparing to tell the story of his capture, framed within a dreamlike Arabian Nights storytelling structure.","The chapter focuses on a thief, a dreaming boy, and stolen memories. While Mieli is described as an Oort Cloud warrior, the overall framing is civilian adventure rather than military operations.","The entire chapter takes place in a dream-virtual reality where characters enter books and construct beach environments from stolen memories, characterizing space and interaction as occurring through abstract, networked mental domains.","The dream world, memory castles, and references to uploaded minds and virtual realities suggest that the experienced environment is fundamentally unlike physical Earth, operating by rules of information and consciousness rather than conventional physics.",Finland_The_Fractal_Prince.csv,Finland_The_Fractal_Prince,NA,NA
Finland,The Fractal Prince,Chapter 1,Moderate contestation (ongoing rivalry/disputes),Extensive territorial occupation (many settled worlds/regions held like states or empires),Moderate journey (months/meaningful separation),Radically different / alien social order,"Mostly same, with dialect/slang differences",Manageable but risky,Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Adventure / exploration,Mostly civilian with some military presence,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"Jean le Flambeur is on Perhonen traveling from Mars to Earth, dealing with ongoing tensions between himself, Mieli, and the pellegrini (a Sobornost Founder gogol). The chapter references past conflicts including the Dilemma Prison and rivalries between Sobornost factions.","The Highway is described as a gravitational artery through the Solar System carrying spaceships and thoughtwisps. Mars has settlements, the Sobornost controls the Inner System, and various zoku and Oortian factions occupy different regions.","Jean and Mieli have spent slow weeks journeying from Mars toward Earth aboard Perhonen, indicating a journey of meaningful duration across interplanetary distances.","Society involves uploaded minds (gogols), quantum computing boxes containing trapped gods, sentient ships made from smartcoral that respond to music, and Sobornost-made synthetic bodies. This is radically unlike any Earth social order.","Characters converse naturally but use highly specialized vocabulary like 'gogols,' 'q-dots,' 'virs,' 'smartcoral,' and 'väki,' indicating a shared base language with extensive technical and cultural slang.","Jean works aboard a ship with life support and advanced technology, but faces risks from the decohering Box, his restricted Sobornost body, and the approach to post-Collapse Earth, which Perhonen expresses concern about visiting.","The Highway carries constant traffic of spaceships and thoughtwisps. Living aboard spacecraft, having synthetic bodies, and traveling between planets is presented as entirely routine for the characters.","The chapter references Sobornost Founders, various zoku, Oortians, the Oubliette on Mars, and multiple competing powers. The pellegrini runs a rogue operation while other Founder factions oppose her.","Jean is a master thief trying to open a quantum box containing a trapped god, planning a heist on Earth. The chapter centers on puzzle-solving, memory exploration, and preparation for a caper.","While Mieli is a warrior with combat augmentations and the pellegrini possesses Sobornost military technology, the narrative focuses on Jean's thieving, the ship's domestic life, and civilian concerns like meditation and tea.","Space is traversed via the Highway network of thoughtwisps and spaceships. Jean interacts with quantum computing protocols translated into sensory metaphors, and Mieli exists in a spimescape. The domain is fundamentally information-based.","The characters live in zero-gravity aboard a sentient smartcoral ship, interact with quantum boxes and memory castles, and inhabit synthetic bodies. The physical environment operates on principles of quantum information and nanotechnology.",Finland_The_Fractal_Prince.csv,Finland_The_Fractal_Prince,NA,1
