book,chapter,q_number,claude_answer,human_answer
Planet of the Apes,Chapter 1,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)","Long-distance journey (years, major separation from Earth)"
Planet of the Apes,Chapter 1,4,Basically Earth society in space,Mostly Earth-like with minor adaptations
Planet of the Apes,Chapter 1,5,Same languages as Earth,Distinct space language(s)
Planet of the Apes,Chapter 1,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 1,7,Normalized / widespread (space habitation is ordinary for humanity),Moderately common (noticeable settlements/populations)
Planet of the Apes,Chapter 1,8,Other / Unsure,Multiple distinct space polities
Planet of the Apes,Chapter 1,9,Adventure / exploration,Adventure / exploration
Planet of the Apes,Chapter 1,10,Entirely civilian,Entirely civilian
Planet of the Apes,Chapter 1,11,Like the ocean / naval,Other / Unsure
Planet of the Apes,Chapter 2,1,No contestation,Moderate contestation (ongoing rivalry/disputes)
Planet of the Apes,Chapter 2,2,Habitable and governable (permanent settlements can hold territory),Habitable and governable (permanent settlements can hold territory)
Planet of the Apes,Chapter 2,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)"
Planet of the Apes,Chapter 2,4,Basically Earth society in space,Mixed / hybrid culture
Planet of the Apes,Chapter 2,5,Same languages as Earth,Other / Unsure
Planet of the Apes,Chapter 2,6,Manageable but risky,Extremely hostile (constant survival pressure)
Planet of the Apes,Chapter 2,7,Exceptionally rare (few astronauts/explorers),Exceptionally rare (few astronauts/explorers)
Planet of the Apes,Chapter 2,8,Other / Unsure,Other / Unsure
Planet of the Apes,Chapter 2,9,Adventure / exploration,Adventure / exploration
Planet of the Apes,Chapter 2,10,Entirely civilian,Entirely civilian
Planet of the Apes,Chapter 2,11,Like the frontier / colonial expansion,Totally unique domain
Planet of the Apes,Chapter 3,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 3,2,"Visiting / Temporary presence only (stations, missions, outposts)",Habitable and governable (permanent settlements can hold territory)
Planet of the Apes,Chapter 3,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 3,4,Radically different / alien social order,Distinct space culture
Planet of the Apes,Chapter 3,5,Other / Unsure,Other / Unsure
Planet of the Apes,Chapter 3,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 3,7,Exceptionally rare (few astronauts/explorers),Normalized / widespread (space habitation is ordinary for humanity)
Planet of the Apes,Chapter 3,8,Other / Unsure,Other / Unsure
Planet of the Apes,Chapter 3,9,Adventure / exploration,Adventure / exploration
Planet of the Apes,Chapter 3,10,Entirely civilian,Entirely civilian
Planet of the Apes,Chapter 3,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 4,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 4,2,Habitable and governable (permanent settlements can hold territory),Habitable and governable (permanent settlements can hold territory)
Planet of the Apes,Chapter 4,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 4,4,Radically different / alien social order,Mostly Earth-like with minor adaptations
Planet of the Apes,Chapter 4,5,Distinct space language(s),Other / Unsure
Planet of the Apes,Chapter 4,6,Manageable but risky,Other / Unsure
Planet of the Apes,Chapter 4,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 4,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 4,9,Drama,Adventure / exploration
Planet of the Apes,Chapter 4,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 4,11,Other / Unsure,Other / Unsure
Planet of the Apes,Chapter 5,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 5,2,"Visiting / Temporary presence only (stations, missions, outposts)",Habitable and governable (permanent settlements can hold territory)
Planet of the Apes,Chapter 5,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 5,4,Radically different / alien social order,Mostly Earth-like with minor adaptations
Planet of the Apes,Chapter 5,5,Other / Unsure,Distinct space language(s)
Planet of the Apes,Chapter 5,6,Manageable but risky,Other / Unsure
Planet of the Apes,Chapter 5,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 5,8,Other / Unsure,Other / Unsure
Planet of the Apes,Chapter 5,9,Adventure / exploration,Adventure / exploration
Planet of the Apes,Chapter 5,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 5,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 6,1,No contestation,Moderate contestation (ongoing rivalry/disputes)
Planet of the Apes,Chapter 6,2,Habitable and governable (permanent settlements can hold territory),Other / Unsure
Planet of the Apes,Chapter 6,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 6,4,Radically different / alien social order,Mixed / hybrid culture
Planet of the Apes,Chapter 6,5,Distinct space language(s),Distinct space language(s)
Planet of the Apes,Chapter 6,6,Manageable but risky,Other / Unsure
Planet of the Apes,Chapter 6,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 6,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 6,9,Comedy / satire,Adventure / exploration
Planet of the Apes,Chapter 6,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 6,11,Other / Unsure,Other / Unsure
Planet of the Apes,Chapter 7,1,No contestation,Moderate contestation (ongoing rivalry/disputes)
Planet of the Apes,Chapter 7,2,Habitable and governable (permanent settlements can hold territory),Other / Unsure
Planet of the Apes,Chapter 7,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 7,4,Radically different / alien social order,Mixed / hybrid culture
Planet of the Apes,Chapter 7,5,Distinct space language(s),Distinct space language(s)
Planet of the Apes,Chapter 7,6,Manageable but risky,Other / Unsure
Planet of the Apes,Chapter 7,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 7,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 7,9,Comedy / satire,Adventure / exploration
Planet of the Apes,Chapter 7,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 7,11,Other / Unsure,Other / Unsure
Planet of the Apes,Chapter 8,1,No contestation,High contestation (frequent conflict or strategic struggle)
Planet of the Apes,Chapter 8,2,Habitable and governable (permanent settlements can hold territory),Other / Unsure
Planet of the Apes,Chapter 8,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 8,4,Radically different / alien social order,Other / Unsure
Planet of the Apes,Chapter 8,5,Distinct space language(s),Distinct space language(s)
Planet of the Apes,Chapter 8,6,Manageable but risky,Other / Unsure
Planet of the Apes,Chapter 8,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 8,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 8,9,Comedy / satire,Adventure / exploration
Planet of the Apes,Chapter 8,10,Entirely civilian,Mostly civilian with some military presence
Planet of the Apes,Chapter 8,11,Other / Unsure,Totally unique domain
Planet of the Apes,Chapter 9,1,High contestation (frequent conflict or strategic struggle),High contestation (frequent conflict or strategic struggle)
Planet of the Apes,Chapter 9,2,Habitable and governable (permanent settlements can hold territory),Other / Unsure
Planet of the Apes,Chapter 9,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 9,4,Radically different / alien social order,Radically different / alien social order
Planet of the Apes,Chapter 9,5,Distinct space language(s),Other / Unsure
Planet of the Apes,Chapter 9,6,Extremely hostile (constant survival pressure),Other / Unsure
Planet of the Apes,Chapter 9,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 9,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 9,9,Thriller / Horror / Survival,Adventure / exploration
Planet of the Apes,Chapter 9,10,Entirely civilian,Entirely civilian
Planet of the Apes,Chapter 9,11,Like the frontier / colonial expansion,Totally unique domain
Planet of the Apes,Chapter 10,1,Moderate contestation (ongoing rivalry/disputes),High contestation (frequent conflict or strategic struggle)
Planet of the Apes,Chapter 10,2,Habitable and governable (permanent settlements can hold territory),Other / Unsure
Planet of the Apes,Chapter 10,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 10,4,Radically different / alien social order,Radically different / alien social order
Planet of the Apes,Chapter 10,5,Distinct space language(s),Distinct space language(s)
Planet of the Apes,Chapter 10,6,Extremely hostile (constant survival pressure),Benign / easily survivable
Planet of the Apes,Chapter 10,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 10,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 10,9,Thriller / Horror / Survival,Adventure / exploration
Planet of the Apes,Chapter 10,10,Entirely civilian,Entirely civilian
Planet of the Apes,Chapter 10,11,Like the frontier / colonial expansion,Totally unique domain
Planet of the Apes,Chapter 11,1,"Low contestation (minor competition, little open conflict)",High contestation (frequent conflict or strategic struggle)
Planet of the Apes,Chapter 11,2,Habitable and governable (permanent settlements can hold territory),Other / Unsure
Planet of the Apes,Chapter 11,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 11,4,Radically different / alien social order,Radically different / alien social order
Planet of the Apes,Chapter 11,5,Distinct space language(s),Other / Unsure
Planet of the Apes,Chapter 11,6,Harsh and resource-intensive,Other / Unsure
Planet of the Apes,Chapter 11,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 11,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 11,9,Drama,Adventure / exploration
Planet of the Apes,Chapter 11,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 11,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 12,1,"Low contestation (minor competition, little open conflict)",Other / Unsure
Planet of the Apes,Chapter 12,2,Habitable and governable (permanent settlements can hold territory),Other / Unsure
Planet of the Apes,Chapter 12,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 12,4,Radically different / alien social order,Radically different / alien social order
Planet of the Apes,Chapter 12,5,Distinct space language(s),Distinct space language(s)
Planet of the Apes,Chapter 12,6,Harsh and resource-intensive,Other / Unsure
Planet of the Apes,Chapter 12,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 12,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 12,9,Drama,Adventure / exploration
Planet of the Apes,Chapter 12,10,Entirely civilian,Entirely civilian
Planet of the Apes,Chapter 12,11,Other / Unsure,Other / Unsure
Planet of the Apes,Chapter 13,1,"Low contestation (minor competition, little open conflict)",Other / Unsure
Planet of the Apes,Chapter 13,2,Habitable and governable (permanent settlements can hold territory),Other / Unsure
Planet of the Apes,Chapter 13,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 13,4,Radically different / alien social order,Other / Unsure
Planet of the Apes,Chapter 13,5,Distinct space language(s),Distinct space language(s)
Planet of the Apes,Chapter 13,6,Manageable but risky,Other / Unsure
Planet of the Apes,Chapter 13,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 13,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 13,9,Drama,Adventure / exploration
Planet of the Apes,Chapter 13,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 13,11,Other / Unsure,Totally unique domain
Planet of the Apes,Chapter 14,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 14,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Planet of the Apes,Chapter 14,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 14,4,Radically different / alien social order,Radically different / alien social order
Planet of the Apes,Chapter 14,5,Distinct space language(s),Other / Unsure
Planet of the Apes,Chapter 14,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 14,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 14,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 14,9,Comedy / satire,Adventure / exploration
Planet of the Apes,Chapter 14,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 14,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 15,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 15,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Planet of the Apes,Chapter 15,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 15,4,Radically different / alien social order,Other / Unsure
Planet of the Apes,Chapter 15,5,Distinct space language(s),Distinct space language(s)
Planet of the Apes,Chapter 15,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 15,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 15,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 15,9,Comedy / satire,Adventure / exploration
Planet of the Apes,Chapter 15,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 15,11,Like the frontier / colonial expansion,Totally unique domain
Planet of the Apes,Chapter 16,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 16,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Planet of the Apes,Chapter 16,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 16,4,Radically different / alien social order,Other / Unsure
Planet of the Apes,Chapter 16,5,Distinct space language(s),Distinct space language(s)
Planet of the Apes,Chapter 16,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 16,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 16,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 16,9,Comedy / satire,Adventure / exploration
Planet of the Apes,Chapter 16,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 16,11,Like the frontier / colonial expansion,Like the frontier / colonial expansion
Planet of the Apes,Chapter 17,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 17,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Planet of the Apes,Chapter 17,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 17,4,Radically different / alien social order,Mixed / hybrid culture
Planet of the Apes,Chapter 17,5,Distinct space language(s),Distinct space language(s)
Planet of the Apes,Chapter 17,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 17,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 17,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 17,9,Drama,Adventure / exploration
Planet of the Apes,Chapter 17,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 17,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 18,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 18,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Planet of the Apes,Chapter 18,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 18,4,Radically different / alien social order,Other / Unsure
Planet of the Apes,Chapter 18,5,Distinct space language(s),Distinct space language(s)
Planet of the Apes,Chapter 18,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 18,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 18,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 18,9,Drama,Adventure / exploration
Planet of the Apes,Chapter 18,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 18,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 19,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 19,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Planet of the Apes,Chapter 19,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 19,4,Radically different / alien social order,Radically different / alien social order
Planet of the Apes,Chapter 19,5,Distinct space language(s),Other / Unsure
Planet of the Apes,Chapter 19,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 19,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 19,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 19,9,Comedy / satire,Adventure / exploration
Planet of the Apes,Chapter 19,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 19,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 20,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 20,2,"Visiting / Temporary presence only (stations, missions, outposts)",Habitable and governable (permanent settlements can hold territory)
Planet of the Apes,Chapter 20,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 20,4,Radically different / alien social order,Mixed / hybrid culture
Planet of the Apes,Chapter 20,5,Distinct space language(s),Other / Unsure
Planet of the Apes,Chapter 20,6,Benign / easily survivable,Benign / easily survivable
Planet of the Apes,Chapter 20,7,Exceptionally rare (few astronauts/explorers),Normalized / widespread (space habitation is ordinary for humanity)
Planet of the Apes,Chapter 20,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 20,9,Comedy / satire,Adventure / exploration
Planet of the Apes,Chapter 20,10,Entirely civilian,Entirely civilian
Planet of the Apes,Chapter 20,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 21,1,No contestation,High contestation (frequent conflict or strategic struggle)
Planet of the Apes,Chapter 21,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Planet of the Apes,Chapter 21,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 21,4,Radically different / alien social order,Other / Unsure
Planet of the Apes,Chapter 21,5,Distinct space language(s),Other / Unsure
Planet of the Apes,Chapter 21,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 21,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 21,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 21,9,Political / diplomatic,Adventure / exploration
Planet of the Apes,Chapter 21,10,Entirely civilian,Entirely civilian
Planet of the Apes,Chapter 21,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 22,1,No contestation,No contestation
Planet of the Apes,Chapter 22,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Planet of the Apes,Chapter 22,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 22,4,Radically different / alien social order,Radically different / alien social order
Planet of the Apes,Chapter 22,5,Distinct space language(s),Distinct space language(s)
Planet of the Apes,Chapter 22,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 22,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 22,8,Single unified authority,Single unified authority
Planet of the Apes,Chapter 22,9,Comedy / satire,Adventure / exploration
Planet of the Apes,Chapter 22,10,Entirely civilian,Entirely civilian
Planet of the Apes,Chapter 22,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 23,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 23,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Planet of the Apes,Chapter 23,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 23,4,Radically different / alien social order,Mostly Earth-like with minor adaptations
Planet of the Apes,Chapter 23,5,Distinct space language(s),Other / Unsure
Planet of the Apes,Chapter 23,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 23,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 23,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 23,9,Drama,Adventure / exploration
Planet of the Apes,Chapter 23,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 23,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 24,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 24,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Planet of the Apes,Chapter 24,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 24,4,Radically different / alien social order,Radically different / alien social order
Planet of the Apes,Chapter 24,5,Distinct space language(s),Distinct space language(s)
Planet of the Apes,Chapter 24,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 24,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 24,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 24,9,Political / diplomatic,Adventure / exploration
Planet of the Apes,Chapter 24,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 24,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 25,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 25,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Planet of the Apes,Chapter 25,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 25,4,Radically different / alien social order,Mixed / hybrid culture
Planet of the Apes,Chapter 25,5,Distinct space language(s),Distinct space language(s)
Planet of the Apes,Chapter 25,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 25,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 25,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 25,9,Political / diplomatic,Adventure / exploration
Planet of the Apes,Chapter 25,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 25,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 26,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 26,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Planet of the Apes,Chapter 26,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 26,4,Radically different / alien social order,Other / Unsure
Planet of the Apes,Chapter 26,5,Distinct space language(s),Distinct space language(s)
Planet of the Apes,Chapter 26,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 26,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 26,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 26,9,Drama,Adventure / exploration
Planet of the Apes,Chapter 26,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 26,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 27,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 27,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Planet of the Apes,Chapter 27,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 27,4,Radically different / alien social order,Other / Unsure
Planet of the Apes,Chapter 27,5,Distinct space language(s),Distinct space language(s)
Planet of the Apes,Chapter 27,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 27,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 27,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 27,9,Drama,Adventure / exploration
Planet of the Apes,Chapter 27,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 27,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 28,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 28,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Planet of the Apes,Chapter 28,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 28,4,Radically different / alien social order,Mostly Earth-like with minor adaptations
Planet of the Apes,Chapter 28,5,Distinct space language(s),Other / Unsure
Planet of the Apes,Chapter 28,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 28,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 28,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 28,9,Drama,Adventure / exploration
Planet of the Apes,Chapter 28,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 28,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 29,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 29,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Planet of the Apes,Chapter 29,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 29,4,Radically different / alien social order,Radically different / alien social order
Planet of the Apes,Chapter 29,5,Distinct space language(s),Distinct space language(s)
Planet of the Apes,Chapter 29,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 29,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 29,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 29,9,Adventure / exploration,Adventure / exploration
Planet of the Apes,Chapter 29,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 29,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 30,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 30,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Planet of the Apes,Chapter 30,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 30,4,Radically different / alien social order,Radically different / alien social order
Planet of the Apes,Chapter 30,5,Distinct space language(s),Distinct space language(s)
Planet of the Apes,Chapter 30,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 30,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 30,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 30,9,Comedy / satire,Adventure / exploration
Planet of the Apes,Chapter 30,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 30,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 31,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 31,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Planet of the Apes,Chapter 31,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
Planet of the Apes,Chapter 31,4,Radically different / alien social order,Other / Unsure
Planet of the Apes,Chapter 31,5,Distinct space language(s),Other / Unsure
Planet of the Apes,Chapter 31,6,Benign / easily survivable,Other / Unsure
Planet of the Apes,Chapter 31,7,Exceptionally rare (few astronauts/explorers),Other / Unsure
Planet of the Apes,Chapter 31,8,Single unified authority,Other / Unsure
Planet of the Apes,Chapter 31,9,Drama,Adventure / exploration
Planet of the Apes,Chapter 31,10,Entirely civilian,Other / Unsure
Planet of the Apes,Chapter 31,11,Like the frontier / colonial expansion,Other / Unsure
Planet of the Apes,Chapter 32,1,No contestation,Moderate contestation (ongoing rivalry/disputes)
Planet of the Apes,Chapter 32,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Planet of the Apes,Chapter 32,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure
